food_code,food_name,tags
P011,Chappal,"high_protein,low_sodium"
P012,Chelu,"high_protein,low_sodium"
P013,Chembali,"high_protein,low_sodium"
P014,Eri meen,"high_protein,low_sodium"
P015,Gobro,high_protein
P016,Guitar fish,high_protein
P017,Hilsa,high_protein
P018,Jallal,high_protein
P019,Jathi vela meen,"high_protein,low_sodium"
P020,Kadal bral,high_protein
P021,Kadali,"high_protein,low_sodium"
P022,Kalamaara,"high_protein,low_sodium"
P023,Kalava,"high_protein,low_sodium"
P024,Kanamayya,high_protein
P025,Kannadi paarai,high_protein
P026,Karimeen,"high_protein,low_sodium"
P027,Karnagawala,high_protein
P028,Kayrai,"high_protein,low_sodium"
P029,Kiriyan,"high_protein,low_sodium"
P030,Kite fish,high_protein
P031,Korka,"high_protein,low_sodium"
P032,Kulam paarai,"high_protein,low_sodium"
P033,Maagaa,high_protein
P034,Mackerel,high_protein
P035,Manda clathi,high_protein
P036,Matha,high_protein
P037,Milk fish,"high_protein,low_sodium"
P038,Moon fish,high_protein
P039,Mullet,high_protein
P040,Mural,high_protein
P041,Myil meen,high_protein
P042,Nalla bontha,high_protein
P043,Narba,"high_protein,low_sodium"
P044,Paarai,"high_protein,low_sodium"
P045,Padayappa,"high_protein,low_sodium"
P046,Pali kora,high_protein
P047,Pambada,high_protein
P048,Pandukopa,"high_protein,low_sodium"
P049,Parava,high_protein
P050,Parcus,high_protein
P051,Parrot fish,high_protein
P052,Perinkilichai,"high_protein,low_sodium"
P053,Phopat,"high_protein,low_sodium"
P054,Piranha,"high_protein,low_sodium"
P055,"Pomfret, black",high_protein
P056,"Pomfret, snub nose","high_protein,low_sodium"
P057,"Pomfret, white","high_protein,low_sodium"
P058,Pranel,high_protein
P059,Pulli paarai,high_protein
P060,Queen fish,"high_protein,low_sodium"
P061,Raai fish,"high_protein,low_sodium"
P062,Raai vanthu,high_protein
P063,Rani,high_protein
P064,"Ray fish, bow head, spotted",high_protein
P065,Red snapper,high_protein
P066,"Red snapper, small","high_protein,low_sodium"
P067,Sadaya,"high_protein,low_sodium"
P068,Salmon,"high_protein,low_sodium"
P069,Sangada,high_protein
P070,Sankata paarai,"high_protein,low_sodium"
P071,Sardine,"high_protein,low_sodium"
P072,Shark,high_protein
P073,"Shark, hammer head",high_protein
P074,"Shark, spotted",high_protein
P075,Shelavu,"high_protein,low_sodium"
P076,Silan,"high_protein,low_sodium"
P077,Silk fish,"high_protein,low_sodium"
P078,Silver carp,"high_protein,low_sodium"
P079,Sole fish,high_protein
P080,Stingray,high_protein
P081,Tarlava,high_protein
P082,Tholam,"high_protein,low_sodium"
P083,Tilapia,high_protein
P084,Tuna,high_protein
P085,"Tuna, striped","high_protein,low_sodium"
P086,Valava,high_protein
P087,Vanjaram,"high_protein,low_sodium"
P088,Vela meen,"high_protein,low_sodium"
P089,Vora,"high_protein,low_sodium"
P090,Whale shark,high_protein
P091,Xiphinis,high_protein
P092,"Eggs, Cat fish","high_protein,moderate_iron"
Q001,Crab,"moderate_protein,moderate_calcium"
Q002,"Crab, sea","high_protein,high_calcium"
Q003,"Lobster, brown",high_protein
Q004,"Lobster, king siz e",high_protein
Q005,Mud crab,"moderate_protein,high_calcium"
Q006,Oyster,"moderate_protein,moderate_calcium,low_sodium"
Q007,"Tiger prawns, brown",moderate_protein
Q008,"Tiger Prawns, orange",moderate_protein
R001,"Clam, green shell","moderate_protein,moderate_calcium"
R002,"Clam, white shell, ribbed",moderate_protein
R003,Octopus,moderate_protein
R004,"Squid, black",high_protein
R005,"Squid, hard shell",high_protein
R006,"Squid, red",high_protein
R007,"Squid, white, small",high_protein
S001,Cat fish,"high_protein,low_sodium"
S002,Catla,"high_protein,low_sodium"
S003,Freshwater Eel,high_protein
S004,Gold fish,"high_protein,low_sodium"
S005,Pangas,"high_protein,low_sodium"
S006,Rohu,"high_protein,low_sodium"
S007,Crab,"moderate_protein,moderate_calcium"
S008,"Prawns, big",high_protein
S009,"Prawns, small",moderate_protein
S010,Tiger prawns,moderate_protein
T001,Coconut oil,low_sodium
T002,Corn oil,low_sodium
T003,Cotton seed oil,low_sodium
T004,Gingelly oil,low_sodium
T005,Groundnut oil,low_sodium
T006,Mustard oil,low_sodium
T007,Palm oil,low_sodium
T008,Rice bran oil,low_sodium
T009,Safflower oil,low_sodium
T010,Safflower oil (blended),low_sodium
T011,Soyabean oil,low_sodium
T012,Sunflower oil,low_sodium
T013,Ghee,low_sodium
T014,Vanaspati,low_sodium
