name,alias,coarse_categories,fine_categories,cuisines,associated_cuisines,area,countries,region1,region2,region3,region4,region5,text_description
Suman,"[{""no_alias"": []}]",['rice' 'snack'],['glutinous rice' 'rice cake'],['Filipino'],['Filipino'],['Philippines'],['Philippines'],South Eastern Asia,,,,,"The dish is an elongated rice cake. It is made from glutinous rice cooked in coconut milk, often wrapped in banana leaves, coconut leaves, or buli or buri palm (Corypha) leaves for steaming. It is usually eaten sprinkled with sugar or laden with latik."
Sushi,"[{'すし': 'not_stated'}, {'寿司': 'not_stated'}, {'鮨': 'not_stated'}, {'鮓': 'not_stated'}]",['rice' 'fish'],['rice roll' 'fish'],['Japanese'],['Japanese'],['Japan'],['Japan'],Eastern Asia,,,,,"The dish is prepared vinegared rice, rolled with seaweed, often with sugar and salt, combined with a variety of ingredients such as Vegetable and meats, most commonly seafood."
Saffron rice,"[{""no_alias"": null}]",['rice'],['mixed rice'],['Iranian'],['Iranian'],['Iran'],['Iran' 'Bangladesh' 'Pakistan' 'India'],Southern Asia,,,,,"The dish is made from saffron, white rice, and usually vegetable bouillon. It is similar to plain cooked rice with the addition of these ingredients."
Szczecin paprikash,"[{'Paprykarz szczeciński': 'Polish'}, {'Polish paprikash': 'English'}]",['fish' 'canned food'],['fish' 'canned food'],['Polish'],['Polish'],['Szczecin'],['Poland'],Eastern Europe,,,,,"The dish is a canned fish spread made from ground fish, rice, tomato paste and vegetable oil, seasoned with onion, salt and spices. It has the form of a reddish-brown paste with visible rice grains."
Taco rice,"[{'タコライス': 'Japanese'}, {'Taco rice': 'English'}]",['rice'],['mixed rice'],['Japanese'],['Okinawan' 'Mexican'],['Okinawa'],['Japan'],Eastern Asia,,,,,"The dish consists of taco-flavored ground beef served on a bed of rice, frequently served with shredded cheese, shredded lettuce, tomato and salsa."
Tahdig,"[{'ته دیگ': 'Persian'}, {'tahdig': 'not_stated'}]",['rice'],['roasted rice'],['Iranian'],['Iranian'],['Iran'],['Iran'],Southern Asia,,,,,"The dish consists of crisp, caramelized rice taken from the bottom of the pot in which the rice (chelow) is cooked."
Teurgoule,"[{""name"": ""no_alias""}]",['rice' 'dessert'],['rice pudding'],['French'],['French'],['Normandy'],['France'],Western Europe,,,,,"The dish consists of rice cooked in milk, sweetened with sugar, and is flavoured with cinnamon and sometimes nutmeg. It is baked in an earthenware terrine for several hours. Long cooking creates a thick, brown caramelised crust over the dish."
Thalassery biryani,"[{'Thalassery biryani': 'English'}, {'biri-yaa-ni': 'Malayalam'}, {'Kaima rice': 'English'}, {'jeerakasala': 'English'}, {'Kerala biryani': 'English'}]",['rice' 'chicken'],['mixed rice'],['Indian'],['Indian'],['Kerala'],['India'],Southern Asia,,,,,The dish is a rice-based dish blended with spices and chicken.
Thingyan rice,"[{'သင်္ကြန်ထမင်း': 'Burmese'}, {'ပုင်သင်္ကြာန်': 'Mon'}, {'Thingyan htamin': 'not_stated'}]",['rice'],['mixed rice'],['Burmese'],['Burmese'],['Myanmar'],['Myanmar'],South Eastern Asia,,,,,"The dish is infused with water and commonly served with a salad of cured salted fish, which is blanched and fried with onions, along with sour mango or marian plum. The dish is then garnished with roasted chili peppers."
Tinapayan,"[{""no_alias"": []}]",['rice'],['fermented rice'],['Filipino'],['Manguindanaon'],['Manguindanao'],['Philippines'],South Eastern Asia,,,,,The dish consists of tapay (fermented cooked rice) and dried fish.
Tinutuan,"[{'bubur manado': 'not_stated'}, {'Manadonese porridge': 'English'}]",['rice'],['porridge'],['Indonesian'],['Minahasan'],['Minahasa'],['Indonesia'],South Eastern Asia,,,,,"The dish is a congee made from rice, pumpkin, and sweet potato or cassava cooked up into a pulp. It is then mixed with corn kernels and various leafy Vegetable such as gedi, kangkung, kemangi, melinjo, and bayam. Finally, it is served with many toppings that may include fried shallots, fried tofu, spring onions, leeks, coriander, chili, and condiments like sambal, dabu-dabu, and a smoked or salted fish, usually skipjack tuna, anchovies, or nike"
Tube rice pudding,"[{'筒仔米糕': 'Chinese'}, {'Tǒng zǐ mǐ gāo': 'not_stated'}, {'tâng-á-bí-ko': 'not_stated'}]",['rice'],['glutinous rice'],['Taiwanese'],['Taiwanese'],['Taiwan'],['Taiwan'],Eastern Asia,,,,,The dish consists of a stir-fried glutinous rice mixture that is seasoned and steamed in a bamboo tube. This dish is a cylindrical shape caused by the steaming process in a tube.
Tupig,"[{'intemtem': 'Tagalog'}, {'kangkanen': 'Ilocano'}]",['snack'],['rice cake'],['Filipino'],['Filipino'],['Pangasinan' 'Tarlac' 'Ilocos'],['Philippines'],South Eastern Asia,,,,,"The dish is made from fermented soaked glutinous rice mixed with coconut milk, sugar, and coconut strips. It is wrapped into a cylindrical form in banana leaves and baked directly into charchoal."
Waakye,"[{'Awaakye': 'English'}, {'wake': 'Hausa'}, {'shinkafa da wake': 'Hausa'}]",['rice'],['mixed rice'],['Ghanaian'],['Ghanaian'],['North Ghana' 'Zongo'],['Ghana'],Western Africa,,,,,The dish is a cooked rice and beans covered with leaf sheaths.
Xôi,[{'ʃoj˧˧': 'Vietnamese'}],['rice'],['mixed rice'],['Vietnamese'],['Vietnamese'],['Vietnam'],['Vietnam'],South Eastern Asia,,,,,The dish is a savory glutinous rice covered with eggs and Vegetable.
Yakimochi,[{'no_alias': ''}],['rice'],['rice cake'],['Japanese'],['Japanese'],['Japan'],['Japan'],Eastern Asia,,,,,"The dish is is grilled or broiled mochi or pounded rice cake. Traditionally, it is prepared using a small charcoal grill, but in modern times a gas grill can be used. During the time of the Autumn Moon, it is traditional to eat this dish while sipping sake and enjoying the view of the full moon. "
Zarda,"[{'ज़र्दा zardā': 'Hindi'}, {'زردہ zardā': 'Urdu'}, {'জর্দা jôrdā': 'Bengali'}]",['rice' 'dessert'],['mixed rice'],['Pakistani' 'Indian' 'Bangladeshi'],['Pakistani' 'Indian' 'Bangladeshi' 'Mughal Empire'],['Indian subcontinent'],['Pakistan' 'India' 'Bangladesh'],Southern Asia,,,,,"The dish is a traditional boiled sweet rice dish. It is made with saffron, milk and sugar, and flavoured with cardamom, raisins, pistachios or almonds."
Jeera bhaat,"[{'Jeera Chawal': 'Hindi'}, {'जीरा चावल': 'Hindi'}, {'Jilakara annam': 'Telugu'}, {'Jeeraga sadam': 'Tamil'}]",['rice'],['mixed rice'],['Indian'],['Indian'],['Indian subcontinent'],['India'],Southern Asia,,,,,"The dish consisting of rice and cumin seeds.The ingredients used are rice, cumin seeds, vegetable oil, onions, salt and coriander leaves."
Zosui,[{'ojiya': 'Japanese'}],['rice'],['rice soup'],['Japanese'],['Japanese'],['Japan'],['Japan'],Eastern Asia,,,,,"The dish is a mild and thin rice soup akin to a rice-based vegetable soup. It is made from pre-cooked rice and dashi or water seasoned with either soy sauce or miso and cooked with other ingredients such as meat, seafood, mushrooms, and Vegetable."
Bánh tét,[{'section': 'not_stated'}],['snack'],['rice cake'],['Vietnamese'],['Vietnamese'],['Vietnam'],['Vietnam'],South Eastern Asia,,,,,"The dish is a savoury but sometimes sweetened cake made primarily from glutinous rice, which is rolled in a banana leaf into a thick, log-like cylindrical shape, with a mung bean and pork filling, then boiled. After cooking, the banana leaf is removed, and the cake is sliced into wheel-shaped servings."
Ciba cake,[{'name': 'no_alias'}],['snack'],['rice cake'],['Chinese'],['Chinese'],['Southern China' 'Chongqing' 'Guangdong'],['China'],Eastern Asia,,,,,The dish is made of glutinous rice pounded into paste and is often fried or steamed before being served. It is often molded into shapes of balls or cuboids.
Fa gao,"[{'发糕': 'simplified Chinese'}, {'發糕': 'traditional Chinese'}, {'fāgāo': 'pinyin'}, {'hoat-koé': 'Pe̍h-ōe-jī'}, {'fat pan': 'English'}, {'prosperity cake': 'English'}, {'fortune cake': 'English'}, {'Cantonese sponge cake': 'English'}, {'simplified Chinese': 'not_stated'}, {'traditional Chinese': 'not_stated'}]",['pastry'],['cake' 'rice flour'],['Chinese'],['Cantonese'],['China'],['China'],Eastern Asia,,,,,"The dish is a  steamed, cupcake-like pastry and is often characterized by a split top when cooked."
Jian dui,"[{'lüdui': 'Chinese'}, {'碌䭔': 'Chinese'}, {'jungguksik chamkkaegyeongdan': 'Korean'}, {'중국식 참깨경단': 'Korean'}, {'twigin chamkkaegyeongdan': 'Korean'}, {'튀긴 참깨경단': 'Korean'}]",['pastry'],['rice flour'],['Chinese'],['Chinese'],"['China' ""Xi'an"" 'Tang Dynasty']",['China'],Eastern Asia,,,,,"The dish is coated with sesame seeds on the outside and is crisp and chewy after immediately being cooked. Inside the pastry is a large hollow, caused by the expansion of the dough. The hollow of the pastry is filled with a filling usually consisting of lotus paste, or alternatively, sweet black bean paste, or red bean paste."
Funing big cake,"[{'阜宁大糕': 'Chinese'}, {'jade belt cake': 'English'}]",['cake'],['tea cake' 'fried cake'],['Chinese'],['Chinese'],['Jiangsu' 'Funing County'],['China'],Eastern Asia,,,,,"The dish traditionally use sticky rice, white sugar, and refined lard as  raw materials. Sometimes the dish also contains pine nuts, walnuts, or other ingredients as garnishes."
Lüdagun,"[{'驴打滚': 'not_stated'}, {'驢打滾': 'not_stated'}, {'lǘdǎgǔn': 'not_stated'}, {'驴打滚儿': 'not_stated'}, {'lǘdǎgǔnr': 'not_stated'}]",['pastry'],['sticky rice'],['Chinese'],['Manchu'],['Beijing'],['China'],Eastern Asia,,,,,"The dish is made with sticky rice and red bean paste, with yellow soybean flour sprinkled on top."
Lo mai chi,"[{'糯米糍': 'Chinese'}, {'nuomici': 'Mandarin'}, {'glutinous rice dumpling': 'English'}]",['pastry'],['rice flour'],['Chinese'],['Chinese'],['Guangdong'],['China'],Eastern Asia,,,,,"The dish can be dusted with dried coconut on the outside. The outer layer is made of a rice flour dough and the inside is typically filled with a sweet filling. The most common fillings are sugar with coconut and crumbled peanuts, red bean paste, and black sesame seed paste."
Osmanthus cake,"[{'桂花糕': 'Chinese'}, {'guì huā gāo': 'not_stated'}]",['pastry'],['cake'],['Chinese'],['Chinese'],['China'],['China'],Eastern Asia,,,,,"The dish is made with glutinous rice flour, honey, sweet-scented osmanthus and rock sugar. It has crystal clear, sweet, and soft waxy characteristics."
Qingtuan,"[{'青糰': 'traditional Chinese'}, {'青团': 'simplified Chinese'}, {'Tsingtuan': 'not_stated'}]",['dumpling'],['bean dumpling'],['Chinese'],['Chinese'],['Jiangnan'],['China'],Eastern Asia,,,,,"The dish is made of glutinous rice mixed with matcha, with a wider variety of fillings, such as rousong or salted egg yolk."
Song gao,[{'no_alias': 'not_stated'}],['snack' 'cake'],['bean cake'],['Chinese'],['Chinese'],['Shanghai'],['China'],Eastern Asia,,,,,"The dish composed of rice flour, sugar, and water, with beans embedded throughout the cake. Giant pink-colored beans with a diameter of about 1 inch (25 mm) are embedded on top of the cake; conventional sized beans are embedded inside the cake. The dish also has a red bean paste filling. This dish is steamed, as a large round cake and is then partitioned into sections for eating. "
White sugar sponge cake,,['cake'],['sponge cake'],['Chinese'],['Chinese'],['Foshan'],['China'],Eastern Asia,,,,,"The dish is white in color, with a spongy and soft consistency. The taste is sweet, and sometimes has a slightly sour taste due to fermentation of the batter prior to cooking."
Kozhukkatta,"[{'കൊഴുക്കട്ട': 'Malayalam'}, {'Kozhukkattai': 'Tamil'}, {'கொழுகட்டை': 'Tamil'}, {'Kudumu': 'Telugu'}, {'కుడుము': 'Telugu'}, {'Kozhukatta': 'not_stated'}]",['dessert' 'dumpling'],['rice dumpling'],['Indian' 'Sri Lankan'],['South Indian'],['Kerala' 'Tamil Nadu'],['India' 'Sri Lanka'],Southern Asia,,,,,"The dish is made from rice flour, with a filling of grated coconut, jaggery, or jackfruit jam. Although usually sweet, can sometimes be stuffed with a savory filling."
Klepon,"[{'ꦏ꧀ꦭꦼꦥꦺꦴꦤ꧀': 'Javanese'}, {'klêpon': 'Javanese'}, {'kelepon': 'not_stated'}, {'kalalapun': 'not_stated'}, {'onde-onde': 'not_stated'}, {'buah melaka': 'not_stated'}]",['snack'],['rice cake'],['Indonesian'],['Indonesian' 'Bruneian' 'Malaysian' 'Singaporean'],['Java' 'Sulawesi'],['Indonesia'],South Eastern Asia,,,,,"The dish is a boiled rice cake filled with liquid palm sugar and coated in flaked coconut. The dough is made from glutinous rice flour, sometimes mixed with tapioca and a paste made from the leaves of the pandan or dracaena plants (daun suji) — whose leaves are used widely in Southeast Asian cooking — giving the dough its green colour."
Kue lapis,"[{'kuih lapis': 'Malay'}, {'kway lapay': 'Myanmar'}, {'kway lapaysa': 'Myanmar'}]",['dessert'],['rice flour pudding'],['Indonesian'],['Indonesian' 'Malaysian' 'Singaporean' 'Bruneian'],['Indonesia'],['Indonesia'],South Eastern Asia,,,,,"The dish usually consists of two alternating coloured layers, thus the name of the cake. The cake is made of rice flour, sago, coconut milk, sugar, salt, and food colouring. Popular food colouring includes green-coloured pandan and red frozen food colouring. This cake is steamed gradually, and layers are subsequently added in alternating order to avoid different colours mixing together. This method will create layered pudding-cake."
Lupis,[{'lopis': 'Indonesian'}],['dessert'],['rice cake'],['Indonesian'],['Indonesian'],['Indonesia'],['Indonesia'],South Eastern Asia,,,,,"The dish is a sweet cake made of glutinous rice, banana leaves, coconut, and brown sugar sauce. It is usually eaten with thick palm sugar syrup and with shredded coconut toppings."
Nagasari,[{'no_alias': 'not_stated'}],['snack'],['rice cake'],['Indonesian'],['Javanese'],['Java'],['Indonesia'],South Eastern Asia,,,,,"The dish is made of rice flour, coconut milk and sugar, filled with a slice of banana and wrapped in banana leaves."
Kue putu,"[{'putu bambu': 'Indonesian'}, {'putu bumbung': 'not_stated'}]",['dessert' 'snack'],['rice cake'],['Indonesian'],['Indonesian'],['East Java'],['Indonesia'],South Eastern Asia,,,,,"The dish is made of rice flour and coloured green with pandan leaves, filled with palm sugar, steamed in bamboo tubes (hence the name), and served with desiccated coconut."
Senbei,"[{'煎餅': 'Japanese'}, {'sembei': 'English'}]",['snack'],['rice cracker'],['Japanese'],['Japanese' 'Chinese'],['Japan' 'China'],['Japan' 'China'],Eastern Asia,,,,,"The dish is a rice cracker. They come in various shapes, sizes, and flavors, usually savory but sometimes sweet. This dish is often eaten with green tea as a casual snack and offered to visiting house guests as a courtesy refreshment."
Dango,"[{'団子': 'Japanese'}, {'串団子': 'Japanese'}, {'no_alias': 'not_stated'}]",['dessert' 'snack'],['rice dumpling'],['Japanese'],['Japanese'],['Japan'],['Japan'],Eastern Asia,,,,,"The dish is made with regular rice flour and glutinous rice flour. They are usually made in round shapes, and three to five pieces are served on a skewer."
Siru-tteok,[{'no_alias': []}],['snack' 'cake'],['rice cake'],['Korean'],['Korean'],['Korea'],['Korea'],Eastern Asia,,,,,The dish is a steamed rice cake made with red bean and rice.
Injeolmi,"[{'인절미': 'Korean'}, {'anban': 'Korean'}, {'gomul': 'Korean'}, {'Patinjeolmi': 'Korean'}, {'팥인절미': 'Korean'}, {'kkaeinjeolmi': 'Korean'}, {'깨인절미': 'Korean'}, {'ssuk injeolmi': 'Korean'}, {'쑥인절미': 'Korean'}, {'surichwi injeolmi': 'Korean'}, {'수리취인절미': 'Korean'}, {'no_alias': 'not_stated'}]",['snack' 'cake'],['rice cake'],['Korean'],['Korean'],['Korea'],['Korea'],Eastern Asia,,,,,"The dish is made by steaming glutinous rice flour, which is shaped into small pieces and covered with dried beans or black sesame."
Songpyeon,"[{'송편': 'Korean'}, {'松䭏': 'Korean'}]",['snack' 'cake'],['rice cake'],['Korean'],['Korean'],['Korea'],['Korea'],Eastern Asia,,,,,"The dish is made of rice powder with shape resembles a half moon and contains sweet fillings such as soybeans, cowpeas, chestnuts, red beans, or honey."
Bupyeon,[{'부편': 'Korean'}],['snack' 'cake'],['rice cake'],['Korean'],['Korean'],['Gyeongsang'],['Korea'],Eastern Asia,,,,,"The dish is made of rice flour kneaded with boiling water and rolled into small round cakes with fillings made of toasted soybean, cinnamon, and honey."
Hwajeon,"[{'화전': 'Korean'}, {'꽃부꾸미': 'Korean'}, {'꽃지지미': 'Korean'}, {'花煎': 'not_stated'}, {'Kkot-bukkumi': 'not_stated'}, {'Kkot-jijimi': 'not_stated'}]",['snack' 'cake'],['rice cake' 'flower cake'],['Korean'],['Korean'],['Korea'],['Korea'],Eastern Asia,,,,,The dish is a pan-fried rice cake covered with edible petals.
Tteokguk,"[{'떡국': 'Korean'}, {'sliced rice cake soup': 'not_stated'}]",['soup' 'rice'],['rice cake soup'],['Korean'],['Korean'],['Korea'],['Korea'],Eastern Asia,,,,,"The dish is a soup with thinly sliced rice cake usually garnished with cooked eggs, marinated meat, gim, and sesame oil."
Bánh bèo,[{'water fern cakes': 'English'}],['cake'],['water fern cake'],['Vietnamese'],['Vietnamese'],['Huế'],['Vietnam'],South Eastern Asia,,,,,"The dish is made of rice flour and tapioca flour with rice cake, dried shrimps, crispy pork skin, scallion oil, and dipping sauce."
Bánh đúc,[{'no_alias': 'not_stated'}],['cake'],['cake'],['Vietnamese'],['Vietnamese' 'Thai' 'Cambodian'],['Trat' 'Southeast Asia'],['Vietnam' 'Thailand' 'Cambodia'],South Eastern Asia,,,,,"The dish is a white or green rice cake made from rice flour or corn flour with soft texture. They also often accomponied with ground pork, ground shrimp, fired onions, sesame seeds, salts, peanuts, and sauces."
Bánh tổ,"[{'nián gāo': 'Hán Việt'}, {'年糕': 'tiếng Trung'}, {'niángāo': 'bính âm'}, {'nin4gou1': 'Việt bính'}, {'nian gao': 'tiếng Trung'}]",['cake'],['rice cake'],['Chinese'],['Chinese'],"['Mainland China' 'Hong Kong' 'Macau' 'Taiwan' 'Singapore' 'Malaysia'
 'Cambodia' 'Indonesia' 'Myanmar' 'Philippines' 'Thailand' 'Vietnam'
 'Sri Lanka']","['China' 'Hong Kong' 'Macau' 'Taiwan' 'Singapore' 'Malaysia' 'Cambodia'
 'Indonesia' 'Myanmar' 'Philippines' 'Thailand' 'Vietnam' 'Sri Lanka']",South Eastern Asia,Southern Asia,Eastern Asia,,,The dish is made from glutinus irce flour with sticky sweet texture with brown color.
Chwee kueh,"[{'水粿': 'Chinese'}, {'shuǐguǒ': 'pinyin'}, {'chúi-kóe': 'Pe̍h-ōe-jī'}, {'water rice cake': 'English'}]",['rice'],['rice cake'],['Teochew'],['Singaporean' 'Chinese'],['Guangdong'],['China' 'Singapore'],South Eastern Asia,Eastern Asia,,,,This is a steamed rice cake dish is served with preserved radish.
Rijstevlaai,"[{'rijsttaart': 'not_stated'}, {'tarte au riz': 'French'}, {'Reisfladen': 'German'}]",['rice'],['grain pudding'],['Dutch' 'Belgian' 'German'],['Dutch' 'Belgian' 'German'],['Netherlands' 'Belgium' 'Germany'],['Netherlands' 'Belgium' 'Germany'],Western Europe,,,,,The dish is a pie with a filling based on rice pudding.
Mochi,"[{'もち': 'Japanese'}, {'餅': 'Japanese'}]",['rice'],['rice cake'],['Japanese'],['Japanese'],['Japan'],['Japan'],Eastern Asia,,,,,"The dish is a rice cake made of a short-grain glutinous rice, and sometimes other ingredients such as water, sugar, and cornstarch. The steamed rice is pounded into paste and molded into the desired shape."
Tteok,[{'떡': 'Korean'}],['rice'],['rice cake'],['Korean'],['Korean'],['Korea'],['Korea'],Eastern Asia,,,,,"This dish is made with steamed flour of various grains, especially glutinous and non-glutinous rice. Steamed flour can also be pounded, shaped, or pan-fried to make this dish. In some cases, this dish is pounded from cooked grains."
Tangyuan,"[{'團圓': 'not_stated'}, {'汤圆': 'not_stated'}]",['dessert'],['rice dumpling'],['Chinese'],['Chinese'],['China'],['China'],Eastern Asia,,,,,"The dish is made of glutinous rice shaped into balls that are served in a hot broth or syrup. They come in varying sizes, anything between a marble to a ping pong ball, and are sometimes stuffed with filling."
Zongzi,"[{'သိုးထည်': 'Burmese'}, {'nom chang': 'Khmer'}, {'machang': 'Filipino'}, {'bacang': 'Indonesian'}, {'khanom chang': 'Lao'}, {'ba-chang': 'Thai'}]",['rice'],['rice cake'],['Chinese'],['Chinese'],['China'],['China'],Eastern Asia,,,,,"The dish is made of glutinous rice stuffed with different fillings and wrapped in bamboo leaves. Fillings can be either sweet, such as red bean paste, or savory, such as pork belly or Chinese sausage."
Meghli,"[{'meghli': 'Arabic'}, {'moghli': 'Arabic'}, {'meghleh': 'Arabic'}, {'karawiyah': 'Arabic'}, {'مغلي': 'Arabic'}]",['dessert'],['rice pudding'],['Levantine'],['Levantine'],['Levant'],['Lebanon' 'Syria' 'Jordan' 'Israel' 'Palestine' 'Cyprus' 'Turkey'],Western Asia,,,,,"The dish is based on a floured rice pudding and spiced with anise, caraway, and cinnamon. The dish is often garnished with dried coconut flakes and various nuts including almonds, walnuts, pine nuts, and pistachios."
Muhallebi,"[{'مهلبی، محالبی': 'Persian'}, {'مهلبية': 'Arabic'}, {'mouhallabié': 'French'}, {'muhallebi': 'no_language_given'}, {'mahalabia': 'no_language_given'}, {'mahalabiyeh': 'no_language_given'}]",['rice'],['rice pudding'],['Iranian'],['Iranian'],['Iran'],['Iran'],Southern Asia,,,,,"The dish is a milk pudding commonly made with rice, sugar, milk and either rice flour, starch or semolina."
Phirni,[{'پِھرِن': 'Kashmiri'}],['dessert'],['rice pudding'],['Pakistani'],['Kashmiri'],['Kashmir'],['Pakistan'],Southern Asia,,,,,"This dish is made with ground rice or rice flour cooked in milk and served chilled. It is infused with fragrant spices like cardamom and saffron, and delicately flavored with floral essence. The dessert is garnished with nuts such as almonds and pistachios, along with edible decorations like petals and metallic leaf."
Kheer,"[{'payasam': 'not_stated'}, {'payesh': 'not_stated'}, {'क्षीर': 'Sanskrit'}]",['dessert'],['rice pudding'],['Indian Subcontinent'],['Indian Subcontinent'],['Indian Subcontinent'],['India' 'Pakistan' 'Bangladesh' 'Nepal' 'Bhutan' 'Sri Lanka' 'Maldives'],Southern Asia,,,,,"The dish is a pudding or porridge, usually made by boiling milk, sugar or jaggery, and rice. It can be additionally flavoured with dried fruits, nuts, cardamom and saffron. Instead of rice, it may contain cracked wheat, vermicelli, sago or tapioca ."
Put chai ko,"[{'Put chai pudding': 'English'}, {'Rice Pudding': 'English'}, {'Earthen bowl cake': 'English'}, {'Bootjaigo': 'English'}, {'Red bean pudding': 'English'}, {'缽仔糕': 'Chinese'}, {'砵仔糕': 'Chinese'}]",['dessert'],['rice pudding'],['Hong Kong'],['Chinese'],['Taishan'],['China' 'Hong Kong'],Eastern Asia,,,,,"The dish is made from white or brown sugar, long-grain rice flour with a little wheat starch or cornstarch. Sometimes red beans are also added. The pudding cake is palm size and is sweet in taste. It is soft, but can hold its molded shape outside a bowl."
Bubur ketan hitam,"[{'Bubur pulut hitam': 'Indonesian'}, {'Bubur injun': 'Indonesian'}]",['dessert'],['rice cake'],['Indonesian'],['Indonesian'],['Java'],['Indonesia'],South Eastern Asia,,,,,"The dish is a sweet dessert made from black glutinous rice porridge with coconut milk and palm sugar or cane sugar. The rice is boiled until soft, and sugar and coconut milk are added."
Chè,[{'Chè': 'Vietnamese'}],['dessert'],['sweet drink'],['Vietnamese'],['Vietnamese'],['Vietnam'],['Vietnam'],South Eastern Asia,,,,,"The dish is any sweet beverage, dessert soup or stew, or pudding. It includes a wide variety of distinct soups or puddings."
Khanom sot sai,"[{'ขนมสอดไส้': 'Thai'}, {'ขนมใส่ไส้': 'Thai'}, {'khanom sai sai': 'not_stated'}]",['dessert'],['rice cake'],['Thai'],['Thai'],['Thailand'],['Thailand'],South Eastern Asia,,,,,"The dish is a dessert with a sweet filling. It is made up of coconut and palm sugar, and the filling is covered with steamed rice flour mixed with coconut cream."
Maja blanca,"[{'name': 'not_stated'}, {'author': 'not_stated'}, {'year': 'not_stated'}, {'name': 'not_stated'}, {'author': 'not_stated'}, {'year': 'not_stated'}, {'name': 'not_stated'}, {'author': 'not_stated'}, {'year': 'not_stated'}, {'name': 'not_stated'}, {'author': 'not_stated'}, {'year': 'not_stated'}]",['dessert'],['rice pudding'],['Filipino'],['Filipino'],['Philippines'],['Philippines'],South Eastern Asia,,,,,"The dish is a dessert with a gelatin-like consistency made primarily from coconut milk. Also known as coconut pudding, it is usually served during fiestas and during the holidays, especially Christmas."
Tibok-tibok,[{'tibuktíbuk': 'Pampangan'}],['dessert'],['rice pudding'],['Filipino'],['Pampanga' 'Cagayan'],['Pampanga' 'Cagayan'],['Philippines'],South Eastern Asia,,,,,"The dish is a dessert pudding made from water buffalo milk and ground glutinous rice. It has a soft, jelly-like texture and is typically topped with coconut curds before serving. The pudding is creamy white in color with a delicate, sweet, and slightly salty flavor."
Char Kway Teow,"[{'炒粿條': 'Chinese'}, {'chhá-kóe-tiâu': 'Pe̍h-ōe-jī'}, {'河粉': 'Chinese'}, {'hé fěn': 'Pinyin'}, {'hó fán': 'Cantonese Yale'}, {'粿條': 'Chinese'}, {'kóe-tiâu': 'Pe̍h-ōe-jī'}, {'guǒ tiáo': 'Pinyin'}, {'gwó tìuh': 'Cantonese Yale'}]",['noodle'],['stir fried noodle'],['Singaporean' 'Malaysian'],['Singaporean' 'Malaysian'],['Singapore' 'Malaysia'],['Singapore' 'Malaysia'],South Eastern Asia,,,,,"The dish is a stir-fried rice noodle dish over very high heat with garlic, light and dark soy sauce, chili paste, whole prawns, shelled blood cockles, chopped Chinese chives, slices of Chinese sausage, and bean sprouts. Other common ingredients include fishcake and belachan."
Kwetiau Goreng,"[{'kwetiau goreng': 'Indonesian'}, {'fried flat noodle': 'English'}]",['noodle'],['stir-fried noodle' 'rice noodle'],['Indonesian'],['Indonesian'],['Indonesia'],['Indonesia'],South Eastern Asia,,,,,"The dish is made from noodles, which are stir-fried in cooking oil with garlic, onion or shallots, beef, chicken, fried prawn, crab or sliced bakso (meatballs), chili, Chinese cabbage, cabbages, tomatoes, egg, and other Vegetable with an ample amount of kecap manis."
Mie Goreng,"[{'mi goreng': 'Indonesian'}, {'bakmi goreng': 'Indonesian'}]",['noodle'],['stir-fried noodle' 'egg noodle'],['Indonesian'],['Indonesian'],['Indonesia'],['Indonesia'],South Eastern Asia,,,,,"The dish is made from thin yellow noodles stir-fried in cooking oil with garlic, onion or shallots, fried prawn, chicken, beef, or sliced bakso (meatballs), chili, Chinese cabbage, cabbages, tomatoes, egg, and other Vegetable."
Yakisoba,"[{'焼きそば': 'Japanese'}, {'transliteration': 'not_stated'}]",['noodle'],['stir-fried noodle' 'soba'],['Japanese'],['Japanese'],['Japan'],['Japan'],Eastern Asia,,,,,"The dish is prepared by frying wheat noodles with bite-sized pork and finely chopped Vegetable like cabbage, onions, bean sprouts, and carrots."
Yaki udon,[{'焼きうどん': 'Japanese'}],['noodle'],['stir-fried noodle' 'udon'],['Japanese'],['Japanese'],['Fukuoka'],['Japan'],Eastern Asia,,,,,"The dish is prepared by stir-frying dish consisting of thick, smooth, white udon noodles mixed with a soy-based sauce, meat (usually pork), and Vegetable."
Chow mein,,['noodle'],['stir-fried noodle'],['Chinese'],['Chinese' 'Indian' 'Nepalese' 'British' 'American'],['Guangdong'],['China'],Eastern Asia,,,,,The dish prepared by stir-frying noodles with Vegetable and sometimes meat or tofu. There are several methods of frying the noodles and a range of toppings can be used.
Drunken noodles,"[{'pad kee mao': 'English'}, {'pad ki mao': 'English'}, {'pad kimao': 'English'}, {'ผัดขี้เมา': 'Thai'}, {'phat khi mao': 'Thai'}]",['noodle'],['stir-fried noodle' 'rice noodle'],['Thai'],['Thai'],['Thailand'],['Thailand'],South Eastern Asia,,,,,"The dish originates from a spicy stir-fry dish that originally did not include noodles. The base ingredients of the aforementioned spicy stir-fry are garlic, shallots, fresh chilies, and shrimp paste, and holy basil (for topping). Eventually, the stir-fry was converted into a noodle dish made with broad rice noodles, soy sauce, fish sauce, oyster sauce, garlic, meat, seafood, chili, fresh black pepper pods and holy basil."
